LAT;LONG;ISO_NAME;ISO_2;Y_2000_09;Y_2001_11;Y_2004_01;Y_2004_05;Y_2005_09;Y_2005_11;Y_2008_05;Y_2008_06;Y_2008_07;Y_2008_08;Y_2008_09;Y_2008_10;Y_2008_11;Y_2008_12;Y_2009_01;Y_2009_02;Y_2009_03;Y_2009_04;Y_2009_05;Y_2009_06;Y_2009_07;Y_2009_08;Y_2009_09;Y_2009_10;Y_2009_11;Y_2009_12;Y_2010_01;Y_2010_02;Y_2010_03;Y_2010_04;Y_2010_05;Y_2010_06;Y_2010_07;Y_2010_08;Y_2010_09;Y_2010_10;Y_2010_11;Y_2010_12;Y_2011_01;Y_2011_02;Y_2011_03;Y_2011_04;Y_2011_05;Y_2011_06;Y_2011_07;Y_2011_08;Y_2011_09;Y_2011_10;Y_2011_11;Y_2011_12;Y_2012_01;Y_2012_02;Y_2012_03;Y_2012_04;Y_2012_05;Y_2012_06;Y_2012_07;Y_2012_08;Y_2012_09;Y_2012_10;Y_2012_11;Y_2012_12;Y_2013_01;Y_2013_02;Y_2013_03;Y_2013_04;Y_2013_05;Y_2013_06;LAT2010;LONG2010
21.50;-80.00; Cuba;CU;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;1;1;1;1;2;1;131;91;67;63;60;85;103;103;106;114;191;160;171;165;112;98;93;117;144;213;199;178;174;197;188;211;219;165;187;189;277;310;304;167;110;88;38;46;38;50;54;57;78;78;88;87;23.64;-81.39
16.00;-24.00; Cape Verde;CV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;3;3;3;6;5;6;4;4;1;1;0;1;4;1;0;2;10;9;4;5;6;8;8;5;5;9;8;9;10;11;12;15;16;13;19;17;18;18;16.68;-29.00
12.17;-69.00; Curacao;CW;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;11;11;10;11;10;9.20;-68.22
-10.50;105.67; Christmas Island;CX;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-22.47;110.54
35.00;33.00; Cyprus;CY;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;56;60;39;47;48;48;64;52;65;48;51;45;66;82;65;66;74;91;80;129;152;155;130;133;244;247;238;183;136;114;113;107;108;102;108;107;125;138;130;122;123;135;156;151;146;144;36.00;20.71
49.75;15.50; Czech Republic;CZ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;8;3;52;127;730;859;1044;974;953;1084;954;1111;947;842;876;954;1059;853;822;988;1249;1178;1843;1910;1773;1658;1840;2123;2251;2085;1647;2199;2224;2066;2116;2030;1822;1649;1767;2033;2360;2267;2229;2144;2160;2441;2442;2551;2708;55.57;11.62
51.00;9.00; Germany;DE;0;0;4;0;0;0;0;1;2;4;7;8;5;6;5;8;5;4;5;10;14;1759;5256;18770;19497;23083;22893;22475;25527;22433;27437;22238;20649;20319;23047;24915;19509;19023;21991;27127;25823;38863;40227;37646;39941;42061;54525;52643;43028;35298;46648;41142;40699;40976;43234;41356;37125;36742;38739;42979;41603;42556;40900;41654;45999;43413;50625;43202;57.82;3.85
11.50;43.00; Djibouti;DJ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;6;5;5;7;10;12;8;7;6;11;17;26;25;33;39;35;113;115;67;48;44;6;10;5;11;10;13;12;12;16;15;15;15;15;22;25;26;20;10.95;25.98
56.00;10.00; Denmark;DK;0;0;0;0;0;0;0;0;0;1;0;2;1;1;0;0;1;1;1;1;4;38;118;455;479;551;543;497;554;537;648;584;502;554;619;645;481;442;490;596;566;850;918;832;820;999;1588;1372;1006;820;1180;1227;1144;1177;1131;1164;1104;1202;1351;1551;1546;1538;1548;1535;1667;1625;1615;1540;65.94;4.50
15.42;-61.33; Dominica;DM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;4;4;5;4;3;3;3;5;5;4;2;3;1;1;3;2;3;3;18;15;12;11;5;6;2;4;2;2;3;3;4;3;6;6;5;2;4;12;8;4;8;9;8;13.80;-62.78
